Barcelona/283.2.0.18.61 (iPhone10,2; iOS 12_4_2; en_BD; en; scale=2.00; 750x1334; 451367207) AppleWebKit/420+
Barcelona/285.5.0.18.61 (iPhone5,5; iOS 16_6; en_ID; en; scale=2.00; 640x1136; 436289152) AppleWebKit/420+
Barcelona/228.9.0.18.61 (iPhone10,9; iOS 11_3; en_GB; en; scale=2.00; 750x1334; 531598589) AppleWebKit/420+
Barcelona/224.4.0.18.61 (iPhone10,4; iOS 11_3_1; en_BD; en; scale=2.00; 750x1334; 441741211) AppleWebKit/420+
Barcelona/228.6.0.18.61 (iPhone10,6; iOS 16_1; de_DE; en; scale=2.00; 750x1334; 431984975) AppleWebKit/420+
Barcelona/292.7.0.18.61 (iPhone12,7; iOS 12_2; de_DE; en; scale=2.00; 828x1792; 482716960) AppleWebKit/420+
Barcelona/215.6.0.18.61 (iPhone9,6; iOS 11_2_1; en_AF; en; scale=2.00; 750x1334; 538939019) AppleWebKit/420+
Barcelona/207.6.0.18.61 (iPhone7,6; iOS 11_0_2; en_ID; en; scale=2.00; 750x1334; 485694226) AppleWebKit/420+
Barcelona/239.6.0.18.61 (iPhone5,6; iOS 12_4_1; it_IT; en; scale=2.00; 640x1136; 490729331) AppleWebKit/420+
Barcelona/206.1.0.18.61 (iPhone5,1; iOS 8_4_1; en_AF; en; scale=2.00; 640x1136; 466893494) AppleWebKit/420+
Barcelona/202.7.0.18.61 (iPhone7,7; iOS 7_0; en_US; en; scale=2.00; 750x1334; 576579234) AppleWebKit/420+
Barcelona/271.3.0.18.61 (iPhone12,3; iOS 14_2; en_GB; en; scale=2.00; 828x1792; 468140572) AppleWebKit/420+
Barcelona/234.3.0.18.61 (iPhone5,3; iOS 13_5_1; it_IT; en; scale=2.00; 640x1136; 593153608) AppleWebKit/420+
Barcelona/289.5.0.18.61 (iPhone12,5; iOS 15_0_1; de_DE; en; scale=2.00; 828x1792; 466169273) AppleWebKit/420+
Barcelona/232.7.0.18.61 (iPhone9,7; iOS 14_2_1; en_BD; en; scale=2.00; 750x1334; 450576493) AppleWebKit/420+
Barcelona/229.7.0.18.61 (iPhone12,7; iOS 15_1; en_ID; en; scale=2.00; 828x1792; 477008339) AppleWebKit/420+
Barcelona/264.1.0.18.61 (iPhone7,1; iOS 15_4; en_IN; en; scale=2.00; 750x1334; 490729331) AppleWebKit/420+
Barcelona/230.2.0.18.61 (iPhone10,2; iOS 13_1_2; en_US; en; scale=2.00; 750x1334; 519455425) AppleWebKit/420+
Barcelona/280.2.0.18.61 (iPhone7,2; iOS 8_0_2; it_IT; en; scale=2.00; 750x1334; 573035528) AppleWebKit/420+
